date__day,model,total_usage
2026-07-16,openai/gpt-4.1-mini-2025-04-14,0.001093
2026-07-16,google/gemma-4-26b-a4b-it-20260403,0.150636
2026-07-16,openai/gpt-4.1-nano-2025-04-14,0.101028
2026-07-17,openai/gpt-4.1-mini-2025-04-14,0.085396
2026-07-17,google/gemma-4-26b-a4b-it-20260403,0.775335
2026-07-17,openai/gpt-4.1-nano-2025-04-14,0.431356
2026-07-18,openai/gpt-4.1-mini-2025-04-14,0.107435
2026-07-18,openai/gpt-4.1-nano-2025-04-14,0.384681
2026-07-18,google/gemma-4-26b-a4b-it-20260403,0.672703
2026-07-19,openai/gpt-4.1-mini-2025-04-14,0.044991
2026-07-19,openai/gpt-4.1-nano-2025-04-14,0.161779
2026-07-19,google/gemma-4-26b-a4b-it-20260403,0.21639
2026-07-20,openai/gpt-4.1-mini-2025-04-14,0.029549
2026-07-20,openai/gpt-4.1-nano-2025-04-14,0.11468
2026-07-20,google/gemma-4-26b-a4b-it-20260403,0.162811
2026-07-21,openai/gpt-4.1-mini-2025-04-14,0.040326
2026-07-21,openai/gpt-4.1-nano-2025-04-14,0.329573
2026-07-21,google/gemma-4-26b-a4b-it-20260403,0.37366
2026-07-22,deepseek/deepseek-v4-flash-20260423,0.134935
2026-07-22,openai/gpt-4.1-mini-2025-04-14,0.022356
2026-07-22,google/gemma-4-31b-it-20260402,0.194846
2026-07-22,google/gemma-4-26b-a4b-it-20260403,0.089322
2026-07-22,upstage/solar-pro-3,0.002045
2026-07-22,openai/gpt-4.1-nano-2025-04-14,0.262565
2026-07-22,deepseek/deepseek-v4-pro-20260423,0.220874
2026-07-23,deepseek/deepseek-v4-flash-20260423,0.011013
2026-07-23,google/gemma-4-31b-it-20260402,0.016899
2026-07-23,openai/gpt-4.1-nano-2025-04-14,0.010623